Git,Conda,Snakemake,RMarkdown,Jupyter,Docker
Heard of it but haven't used it,Tried it once or twice,Tried it once or twice,Tried it once or twice,Tried it once or twice,Heard of it but haven't used it
Tried it once or twice,Never heard of it,Never heard of it,Tried it once or twice,Heard of it but haven't used it,Never heard of it
Use it,Tried it once or twice,Heard of it but haven't used it,Use it,Heard of it but haven't used it,Heard of it but haven't used it
Tried it once or twice,Heard of it but haven't used it,Never heard of it,Use it,Heard of it but haven't used it,Heard of it but haven't used it
Use it,Heard of it but haven't used it,Never heard of it,Use it,Heard of it but haven't used it,Heard of it but haven't used it
Use it,Use it,Use it,Use it,Heard of it but haven't used it,Heard of it but haven't used it
Tried it once or twice,Heard of it but haven't used it,Use it,Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it
Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Use it,Heard of it but haven't used it
Use it,Use it,Use it,Tried it once or twice,Tried it once or twice,Heard of it but haven't used it
Use it,Use it,Heard of it but haven't used it,Use it,Use it,Tried it once or twice
Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Use it,Heard of it but haven't used it,Heard of it but haven't used it
Never heard of it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Tried it once or twice,Never heard of it
Tried it once or twice,Heard of it but haven't used it,Tried it once or twice,Never heard of it,Never heard of it,Heard of it but haven't used it
Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Tried it once or twice,Heard of it but haven't used it
Tried it once or twice,Tried it once or twice,Heard of it but haven't used it,Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it
Use it,Heard of it but haven't used it,Heard of it but haven't used it,Tried it once or twice,Tried it once or twice,Heard of it but haven't used it
Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it,Use it,Tried it once or twice,Heard of it but haven't used it
Tried it once or twice,Tried it once or twice,Never heard of it,Use it,Use it,Never heard of it
Heard of it but haven't used it,Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it
Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it,Tried it once or twice,Tried it once or twice,Use it
