Indicate your experience with the following tools (just to help us adapt the course level) [Git],Indicate your experience with the following tools (just to help us adapt the course level) [Conda],Indicate your experience with the following tools (just to help us adapt the course level) [Snakemake],Indicate your experience with the following tools (just to help us adapt the course level) [R Markdown],Indicate your experience with the following tools (just to help us adapt the course level) [Jupyter],Indicate your experience with the following tools (just to help us adapt the course level) [Docker],Indicate your experience with the following tools (just to help us adapt the course level) [Singularity]
Use it,Use it,Never heard of it,Heard of it but haven't used it,Heard of it but haven't used it,Never heard of it,Never heard of it
Tried it once or twice,Tried it once or twice,Tried it once or twice,Use it,Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it
Heard of it but haven't used it,Tried it once or twice,Heard of it but haven't used it,Tried it once or twice,Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it
Use it,Never heard of it,Never heard of it,Use it,Tried it once or twice,Tried it once or twice,Never heard of it
Use it,Heard of it but haven't used it,Heard of it but haven't used it,Use it,Use it,Tried it once or twice,Heard of it but haven't used it
Tried it once or twice,Tried it once or twice,Heard of it but haven't used it,Tried it once or twice,Tried it once or twice,Heard of it but haven't used it,Never heard of it
Use it,Tried it once or twice,Heard of it but haven't used it,Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it,Never heard of it
Tried it once or twice,Never heard of it,Never heard of it,Tried it once or twice,Heard of it but haven't used it,Never heard of it,Never heard of it
Use it,Use it,Heard of it but haven't used it,Use it,Use it,Use it,Heard of it but haven't used it
Use it,Use it,Heard of it but haven't used it,Heard of it but haven't used it,Use it,Heard of it but haven't used it,Never heard of it
Use it,Tried it once or twice,Tried it once or twice,Heard of it but haven't used it,Tried it once or twice,Heard of it but haven't used it,Never heard of it
Use it,Use it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it
Heard of it but haven't used it,Tried it once or twice,Tried it once or twice,Tried it once or twice,Tried it once or twice,Heard of it but haven't used it,Never heard of it
Tried it once or twice,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it
Use it,Use it,Tried it once or twice,Use it,Heard of it but haven't used it,Heard of it but haven't used it,Heard of it but haven't used it
Heard of it but haven't used it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it
Tried it once or twice,Tried it once or twice,Never heard of it,Tried it once or twice,Use it,Heard of it but haven't used it,Never heard of it
Use it,Use it,Tried it once or twice,Heard of it but haven't used it,Use it,Use it,Tried it once or twice
