start	end	title	attendees	calendarId
2026-04-20T09:00:00	2026-04-20T10:00:00	Setup and troubleshooting		extra
2026-04-20T10:00:00	2026-04-20T10:25:00	Introduction to Reproducible Research	Erik Fasterius	session
2026-04-20T10:25:00	2026-04-20T10:40:00	Break		free
2026-04-20T10:40:00	2026-04-20T11:10:00	Data management and project organisation	John Sundh	session
2026-04-20T11:10:00	2026-04-20T12:00:00	Git: Version tracking and distributing your code	Erik Fasterius	session
2026-04-20T12:00:00	2026-04-20T13:00:00	Lunch		free
2026-04-20T13:00:00	2026-04-20T14:40:00	Git continued...	Erik Fasterius	session
2026-04-20T14:40:00	2026-04-20T15:00:00	Break		free
2026-04-20T15:00:00	2026-04-20T16:45:00	Conda: Controlling your environment	John Sundh	session
2026-04-20T16:45:00	2026-04-20T17:00:00	Wrap-up day 1	Erik Fasterius	extra
2026-04-21T09:00:00	2026-04-21T10:20:00	Working with containers	John Sundh	session
2026-04-21T10:20:00	2026-04-21T10:40:00	Break		free
2026-04-21T10:40:00	2026-04-21T12:00:00	Containers continued...	John Sundh	session
2026-04-21T12:00:00	2026-04-21T13:00:00	Lunch		free
2026-04-21T13:00:00	2026-04-21T15:00:00	Containers continued...	John Sundh	session
2026-04-21T15:00:00	2026-04-21T15:20:00	Break		free
2026-04-21T15:20:00	2026-04-21T16:45:00	Quarto: Writing computational notebooks and reproducible reports	Erik Fasterius	session
2026-04-21T16:45:00	2026-04-21T17:00:00	Wrap-up day 2	John Sundh	extra
2026-04-21T18:00:00	2026-04-21T21:00:00	Course dinner		extra
2026-04-22T09:00:00	2026-04-22T09:45:00	Quarto continued...	Erik Fasterius	session
2026-04-22T09:45:00	2026-04-22T10:20:00	Jupyter: Writing computational notebooks and reproducible reports	John Sundh	session
2026-04-22T10:20:00	2026-04-22T10:40:00	Break		free
2026-04-22T10:40:00	2026-04-22T12:00:00	Jupyter continued...	John Sundh	session
2026-04-22T12:00:00	2026-04-22T13:00:00	Lunch		free
2026-04-22T13:00:00	2026-04-22T13:30:00	Jupyter continued...	John Sundh	session
2026-04-22T13:30:00	2026-04-22T14:30:00	Snakemake: Organise your analyses using workflow managers	John Sundh	session
2026-04-22T14:30:00	2026-04-22T14:50:00	Break		free
2026-04-22T14:50:00	2026-04-22T16:45:00	Snakemake continued...	John Sundh	session
2026-04-22T16:45:00	2026-04-22T17:00:00	Wrap-up day 3	John Sundh	extra
2026-04-23T09:00:00	2026-04-23T10:30:00	Snakemake continued...	John Sundh	session
2026-04-23T10:30:00	2026-04-23T10:50:00	Break		free
2026-04-23T10:50:00	2026-04-23T12:00:00	Nextflow: Organise your analyses using workflow managers	Erik Fasterius	session
2026-04-23T12:00:00	2026-04-23T13:00:00	Lunch		free
2026-04-23T13:00:00	2026-04-23T14:20:00	Nextflow continued...	Erik Fasterius	session
2026-04-23T14:20:00	2026-04-23T14:40:00	Break		free
2026-04-23T14:40:00	2026-04-23T16:45:00	Nextflow continued...	Erik Fasterius	session
2026-04-23T16:45:00	2026-04-23T17:00:00	Wrap-up day 4	Erik Fasterius	extra
2026-04-24T09:00:00	2026-04-24T09:15:00	Documentation	Erik Fasterius	session
2026-04-24T09:15:00	2026-04-24T10:20:00	Putting it all together	Erik Fasterius	session
2026-04-24T10:20:00	2026-04-24T10:40:00	Break		free
2026-04-24T10:40:00	2026-04-24T12:00:00	Putting it all together continued...	Erik Fasterius	session
2026-04-24T12:00:00	2026-04-24T13:00:00	Lunch		free
2026-04-24T13:00:00	2026-04-24T14:20:00	Putting it all together continued...	Erik Fasterius	session
2026-04-24T14:20:00	2026-04-24T14:40:00	Break		free
2026-04-24T14:40:00	2026-04-24T15:45:00	Putting it all together continued...	Erik Fasterius	session
2026-04-24T15:45:00	2026-04-24T16:00:00	Final wrap-up and end of the course	John Sundh	extra
