# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-a" "data/raw_external/NCTC8325.gff3.gz" "-o" "results/tables/counts.tsv" "intermediate/SRR935090.sorted.bam" "intermediate/SRR935091.sorted.bam" "intermediate/SRR935092.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	intermediate/SRR935090.sorted.bam	intermediate/SRR935091.sorted.bam	intermediate/SRR935092.sorted.bam
SAOUHSC_00001	Chromosome	517	1878	+	1362	12	5	14
SAOUHSC_00002	Chromosome	2156	3289	+	1134	15	1	19
SAOUHSC_00003	Chromosome	3670	3915	+	246	1	0	3
SAOUHSC_00004	Chromosome	3912	5024	+	1113	5	1	7
SAOUHSC_00005	Chromosome	5034	6968	+	1935	12	4	21
SAOUHSC_00006	Chromosome	7005	9668	+	2664	27	10	41
SAOUHSC_00007	Chromosome	9755	10456	-	702	4	0	2
SAOUHSC_00008	Chromosome	10893	12407	+	1515	1	0	1
SAOUHSC_00009	Chromosome	12786	14072	+	1287	8	2	14
SAOUHSC_00010	Chromosome	14722	15417	+	696	0	0	1
SAOUHSC_00012	Chromosome	15414	15743	+	330	0	0	0
SAOUHSC_00013	Chromosome	16106	17074	+	969	1	0	0
SAOUHSC_00014	Chromosome	17365	18303	+	939	3	1	8
SAOUHSC_00015	Chromosome	18318	20285	+	1968	17	13	31
SAOUHSC_00017	Chromosome	20282	20734	+	453	8	1	8
SAOUHSC_00018	Chromosome	20766	22166	+	1401	9	7	20
SAOUHSC_00019	Chromosome	22444	23727	+	1284	35	3	16
SAOUHSC_00020	Chromosome	24931	25632	+	702	0	1	6
SAOUHSC_00021	Chromosome	25645	27471	+	1827	2	2	9
SAOUHSC_00022	Chromosome	27515	28798	+	1284	3	1	13
SAOUHSC_00023	Chromosome	28799	29587	+	789	6	3	3
SAOUHSC_00024	Chromosome	29977	30777	+	801	2	0	2
SAOUHSC_00025	Chromosome	31005	33323	+	2319	2	3	3
SAOUHSC_00026	Chromosome	33555	34034	-	480	0	0	0
SAOUHSC_00027	Chromosome	33691	34170	+	480	0	0	1
SAOUHSC_00028	Chromosome	34375	34509	-	135	0	0	0
SAOUHSC_00029	Chromosome	34473	34565	+	93	0	0	0
SAOUHSC_00030	Chromosome	34712	36457	+	1746	4	4	7
SAOUHSC_00031	Chromosome	36551	37003	-	453	3	0	0
SAOUHSC_00032	Chromosome	37019	37120	-	102	0	0	0
SAOUHSC_00033	Chromosome	37218	37973	-	756	1	2	0
SAOUHSC_00034	Chromosome	37973	38233	-	261	0	0	0
SAOUHSC_00035	Chromosome	38370	39437	+	1068	0	0	0
SAOUHSC_00036	Chromosome	39468	40802	+	1335	0	0	1
SAOUHSC_00037	Chromosome	40821	42014	+	1194	0	0	1
SAOUHSC_00038	Chromosome	42281	42382	-	102	0	2	0
SAOUHSC_00039	Chromosome	42681	43613	-	933	1	10	9
SAOUHSC_00040	Chromosome	43976	44179	+	204	0	0	0
SAOUHSC_00041	Chromosome	44228	44524	+	297	0	0	0
SAOUHSC_00042	Chromosome	44596	45816	-	1221	1	1	0
SAOUHSC_00043	Chromosome	45809	46360	-	552	1	0	0
SAOUHSC_00044	Chromosome	46473	47333	+	861	1	2	3
SAOUHSC_00045	Chromosome	47689	48222	-	534	0	0	0
SAOUHSC_00046	Chromosome	48313	49056	+	744	0	1	1
SAOUHSC_00047	Chromosome	49490	50092	+	603	0	0	2
